date,cow_dung_incoming_mt,food_waste_incoming_mt,veg_waste_incoming_mt,total_incoming_mt,processed_cow_dung_mt,processed_food_waste_mt,mavitech_processed_mt,total_processed_mt,recycle_water_m3,fresh_water_m3,total_water_m3,feed_digester_1_m3,feed_digester_2_m3,feed_total_m3,ph_inlet,ph_outlet_d1,ph_outlet_d2,temp_outlet_d1_c,temp_outlet_d2_c,raw_gas_d1_nm3,raw_gas_d2_nm3,raw_gas_total_nm3,raw_gas_utilized_total_nm3,scrubber_gas_flow_outlet_nm3,raw_gas_total_raw_nm3,cow_dung_incoming_mt_was_missing,food_waste_incoming_mt_was_missing,veg_waste_incoming_mt_was_missing,total_incoming_mt_was_missing,processed_cow_dung_mt_was_missing,processed_food_waste_mt_was_missing,mavitech_processed_mt_was_missing,total_processed_mt_was_missing,recycle_water_m3_was_missing,fresh_water_m3_was_missing,total_water_m3_was_missing,feed_digester_1_m3_was_missing,feed_digester_2_m3_was_missing,feed_total_m3_was_missing,ph_inlet_was_missing,ph_outlet_d1_was_missing,ph_outlet_d2_was_missing,temp_outlet_d1_c_was_missing,temp_outlet_d2_c_was_missing,raw_gas_utilized_total_nm3_was_missing,scrubber_gas_flow_outlet_nm3_was_missing,biogas_prod_was_missing,biogas_prod_feature_imputed,target_biogas_next_day_nm3,target_is_valid,biogas_today_nm3,biogas_lag_1d,biogas_lag_2d,biogas_lag_3d,biogas_lag_7d,feed_total_lag_1d,feedstock_incoming_lag_1d,processed_total_lag_1d,recycle_water_lag_1d,ph_d1_lag_1d,temp_d1_lag_1d,biogas_rolling_mean_3d,biogas_rolling_mean_7d,biogas_rolling_std_7d,feed_rolling_mean_7d,incoming_rolling_mean_7d,day_of_week,is_weekend,month,day_of_month
2025-11-01,15.38,26.72,76.75,118.85,13.78,31.72,26.75,48.15,32.0,0.0,0.0,160.0,0.0,160.0,5.6,7.61,7.83,35.0,33.0,3443.0,0.0,3443.0,3767.0,5827.0,3443.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3443.0,3610.0,1,3443.0,3443.0,3443.0,3443.0,3443.0,160.0,118.85,48.15,32.0,7.61,35.0,3443.0,3443.0,0.0,160.0,118.85,5,1,11,1
2025-11-02,14.32,38.31,77.93,130.56,17.42,38.31,69.75,115.66,49.0,0.0,0.0,180.0,0.0,180.0,5.24,7.75,7.8,36.0,32.0,3610.0,0.0,3610.0,3610.0,6131.0,3610.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3610.0,2070.0,1,3610.0,3443.0,3443.0,3443.0,3443.0,160.0,118.85,48.15,32.0,7.61,35.0,3526.5,3526.5,118.08683245815344,170.0,124.705,6,1,11,2
2025-11-03,14.99,36.84,77.13,128.96,13.22,36.84,58.75,89.49000000000001,36.0,0.0,0.0,180.0,0.0,180.0,4.86,7.7,7.89,36.0,35.0,2070.0,0.0,2070.0,1781.0,3065.0,2070.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2070.0,3091.0,1,2070.0,3610.0,3443.0,3443.0,3443.0,180.0,130.56,115.66,49.0,7.75,36.0,3041.0,3041.0,845.0461525857626,173.33333333333334,126.12333333333332,0,0,11,3
2025-11-04,9.69,30.64,84.48,124.81,10.77,30.64,42.5,71.46,31.0,0.0,0.0,175.0,130.0,305.0,4.85,7.71,7.99,35.0,33.0,3002.0,89.0,3091.0,3219.0,4503.0,3091.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3091.0,3382.0,1,3091.0,2070.0,3610.0,3443.0,3443.0,180.0,128.96,89.49000000000001,36.0,7.7,36.0,2923.6666666666665,3053.5,690.4300592143036,206.25,125.795,1,0,11,4
2025-11-05,9.55,36.28,77.69,123.52,10.24,36.28,28.75,65.10000000000001,30.0,0.0,0.0,110.0,61.0,171.0,4.98,7.68,7.85,35.0,33.0,2571.0,811.0,3382.0,2405.0,3519.0,3382.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3382.0,4567.0,1,3382.0,3091.0,2070.0,3610.0,3443.0,305.0,124.81,71.46,31.0,7.71,35.0,2847.6666666666665,3119.2,615.7131637377911,199.2,125.34,2,0,11,5
2025-11-06,12.33,34.01,74.95,121.29,10.68,36.01,64.25,99.63,41.0,0.0,0.0,170.0,93.0,263.0,5.43,7.62,7.83,36.0,33.0,2709.0,1858.0,4567.0,3605.0,4794.0,4567.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4567.0,5300.0,1,4567.0,3382.0,3091.0,2070.0,3443.0,171.0,123.52,65.10000000000001,30.0,7.68,35.0,3680.0,3360.5,807.8590842467515,209.83333333333331,124.665,3,0,11,6
2025-11-07,14.44,38.51,107.0,159.95,14.53,38.51,44.75,110.82999999999998,48.0,0.0,0.0,180.0,102.0,282.0,5.62,7.57,7.72,36.0,33.0,3233.0,2067.0,5300.0,4580.0,6896.0,5300.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5300.0,3406.0,1,5300.0,4567.0,3382.0,3091.0,3443.0,263.0,121.29,99.63,41.0,7.62,36.0,4416.333333333333,3637.571428571429,1039.8286488876995,220.14285714285717,129.7057142857143,4,0,11,7
2025-11-08,14.46,19.33,109.11,142.9,12.66,18.49,59.75,114.94,52.0,0.0,0.0,160.0,156.0,316.0,5.68,7.63,7.49,36.0,33.0,2913.0,493.0,3406.0,2992.0,4014.0,3406.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3406.0,4287.0,1,3406.0,5300.0,4567.0,3382.0,3443.0,282.0,159.95,110.82999999999998,48.0,7.57,36.0,4424.333333333333,3632.285714285714,1041.075840062531,242.42857142857144,133.14142857142858,5,1,11,8
2025-11-09,11.72,33.52,89.13,134.37,14.28,34.36,57.25,127.87,49.0,0.0,0.0,160.0,165.0,325.0,5.78,7.58,7.52,35.0,34.0,2434.0,1853.0,4287.0,4269.0,5634.0,4287.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4287.0,5881.0,1,4287.0,3406.0,5300.0,4567.0,3610.0,316.0,142.9,114.94,52.0,7.63,36.0,4331.0,3729.0,1069.7127340241086,263.1428571428572,133.68571428571428,6,1,11,9
2025-11-10,18.41,18.31,88.39,125.11,17.02,17.19,31.5,66.55000000000001,46.0,0.0,0.0,150.0,149.0,299.0,5.23,7.37,7.45,35.0,35.0,3402.0,2479.0,5881.0,6335.0,8259.0,5881.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5881.0,5670.0,1,5881.0,4287.0,3406.0,5300.0,2070.0,325.0,134.37,127.87,49.0,7.58,35.0,4524.666666666667,4273.428571428572,1054.33373229145,280.1428571428572,133.1357142857143,0,0,11,10
2025-11-11,18.65,25.63,96.79,141.07,18.37,26.75,31.5,79.26,42.0,0.0,0.0,165.0,160.0,325.0,5.68,7.5,7.42,33.0,33.0,2638.0,3032.0,5670.0,4877.0,5593.0,5670.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5670.0,4903.0,1,5670.0,5881.0,4287.0,3406.0,3091.0,299.0,125.11,66.55000000000001,46.0,7.37,35.0,5279.333333333333,4641.857142857143,1022.400350249586,283.0,135.45857142857145,1,0,11,11
2025-11-12,17.1,37.75,95.04,149.89,16.87,37.17,57.25,119.24000000000002,43.0,0.0,0.0,161.0,160.0,321.0,5.7,7.38,7.65,35.0,35.0,2752.0,2151.0,4903.0,4760.0,5543.0,4903.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4903.0,5182.0,1,4903.0,5670.0,5881.0,4287.0,3382.0,325.0,141.07,79.26,42.0,7.5,33.0,5484.666666666667,4859.142857142857,858.5141094882924,304.42857142857144,139.22571428571428,2,0,11,12
2025-11-13,21.86,31.94,93.11,146.91,22.51,32.52,58.25,108.27,41.0,0.0,0.0,166.0,155.0,321.0,5.72,7.37,7.45,35.0,34.0,2383.0,2799.0,5182.0,4740.0,5197.0,5182.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5182.0,4960.0,1,5182.0,4903.0,5670.0,5881.0,4567.0,321.0,149.89,119.24000000000002,43.0,7.38,35.0,5251.666666666667,4947.0,855.096095964268,312.7142857142857,142.8857142857143,3,0,11,13
2025-11-14,18.09,26.73,132.7,177.51999999999998,14.58,26.4,18.0,46.13999999999999,29.0,0.0,0.0,150.0,150.0,300.0,5.47,7.44,7.47,35.0,35.0,2502.0,2458.0,4960.0,3502.0,3821.0,4960.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4960.0,4562.0,1,4960.0,5182.0,4903.0,5670.0,5300.0,321.0,146.91,108.27,41.0,7.37,35.0,5015.0,4898.428571428572,841.2472599544986,315.2857142857143,145.3957142857143,4,0,11,14
2025-11-15,40.27,20.52,101.41,162.2,29.58,19.06,22.5,76.62,57.0,0.0,0.0,160.0,156.0,316.0,5.47,7.44,7.47,35.0,34.0,2139.0,2423.0,4562.0,4180.0,4523.0,4562.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,4562.0,4518.0,1,4562.0,4960.0,5182.0,4903.0,3406.0,300.0,177.51999999999998,46.13999999999999,29.0,7.44,35.0,4901.333333333333,5063.571428571428,568.7878506505023,315.2857142857143,148.15285714285713,5,1,11,15
